query_id,pq,batch_index,approx_h2d_ms,approx_memset_ms,approx_kernel_ms,approx_d2h_ms,approx_total_ms,recall,seed_count,visited_nodes,expanded_nodes,neighbor_slots_scanned,candidate_nodes,distance_evals,frontier_pushes,result_updates,peak_frontier,peak_results,result_count,early_stopped
150,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1127,58,1824,1123,1127,434,287,50,50,10,1
151,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,589,58,1824,585,589,402,300,50,50,10,1
152,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,764,57,1792,760,764,395,266,50,50,10,1
153,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,936,57,1792,932,936,382,264,50,50,10,1
154,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1101,65,2048,1097,1101,428,292,50,50,10,1
155,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1540,79,2496,1536,1540,543,335,50,50,10,1
156,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,941,58,1824,937,941,359,219,50,50,10,1
157,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.5,4,1212,65,2048,1208,1212,397,252,50,50,10,1
158,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1111,54,1696,1107,1111,385,240,50,50,10,1
159,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,913,54,1696,909,913,338,225,50,50,10,1
160,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1126,61,1920,1122,1126,406,267,50,50,10,1
161,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,948,53,1664,944,948,321,200,50,50,10,1
162,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1226,62,1952,1222,1226,375,226,50,50,10,1
163,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1021,53,1664,1017,1021,350,218,50,50,10,1
164,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,921,54,1696,917,921,360,230,50,50,10,1
165,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,821,54,1696,817,821,327,203,50,50,10,1
166,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1081,63,1984,1077,1081,447,293,50,50,10,1
167,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,997,55,1728,993,997,360,226,50,50,10,1
168,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,899,54,1696,895,899,341,206,50,50,10,1
169,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,963,57,1792,959,963,363,233,50,50,10,1
170,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,925,55,1728,921,925,380,245,50,50,10,1
171,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.5,4,1085,59,1856,1081,1085,402,264,50,50,10,1
172,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1265,62,1952,1261,1265,444,296,50,50,10,1
173,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,921,54,1696,917,921,330,199,50,50,10,1
174,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,889,58,1824,885,889,427,285,50,50,10,1
175,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,857,60,1888,853,857,384,239,50,50,10,1
176,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,856,57,1792,852,856,330,212,50,50,10,1
177,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,998,55,1728,994,998,365,222,50,50,10,1
178,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.3,4,1263,64,2016,1259,1263,456,306,50,50,10,1
179,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.7,4,1073,55,1728,1069,1073,373,257,50,50,10,1
180,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,985,61,1920,981,985,428,284,50,50,10,1
181,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.8,4,1000,54,1696,996,1000,382,260,50,50,10,1
182,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,906,59,1856,902,906,415,281,50,50,10,1
183,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,999,55,1728,995,999,361,241,50,50,10,1
184,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,0.9,4,949,56,1760,945,949,361,231,50,50,10,1
185,50,0,3.5459e-05,0,0.00839679,1.97773e-05,0.00845203,1,4,532,55,1728,528,532,319,198,50,50,10,1
